companyID,companyName,street,city,state,zip
1,"ABC Inc.","123 Main St","New York",NY,10001
2,"XYZ Corp.","456 Elm St","Los Angeles",CA,90001
3,"PQR Ltd.","789 Oak St",Chicago,IL,60601
4,"MNO Inc.","321 Maple St",Houston,TX,77001
5,"JKL Corp.","901 Broadway",Seattle,WA,98101
6,"DEF Inc.","234 Pine St",Boston,MA,02101
7,"GHI Ltd.","567 Cedar St",Denver,CO,80201
8,"STU Inc.","890 Walnut St",Dallas,TX,75201
9,"VWX Corp.","345 Spruce St","San Francisco",CA,94101
10,"BCD Inc.","678 Fir St",Miami,FL,33101
11,"EFG Ltd.","901 Ash St",Washington,DC,20001
12,"HIJ Corp.","234 Beech St",Atlanta,GA,30301
13,"KLM Inc.","567 Cypress St",Minneapolis,MN,55401
14,"NOP Ltd.","890 Cherry St",Phoenix,AZ,85001
15,"QRS Inc.","123 Orange St",Philadelphia,PA,19101
16,"TUV Corp.","456 Lemon St",Detroit,MI,48201
17,"WXY Inc.","789 Grape St","San Diego",CA,92101
18,"ZAB Ltd.","901 Peach St",Portland,OR,97201
19,"CDE Corp.","234 Plum St",Memphis,TN,38101
20,"FGH Inc.","567 Pear St",Baltimore,MD,21201
21,"Urban Outfitters","123 S 13th St",Philadelphia,PA,19107
